분류,지역,발주처명,발주처분류,약칭,적격심사분류,비고
정부투자기관(기타),울산,(재)2028울산국제정원박람회조직위원회,지자체기타,,미분류,
지방자치단체(도),경기,(재)경기환경에너지진흥원,경기도,,행정안전부(지방자치단체),
정부투자기관(공사),경남,(재)경남로봇랜드재단,공사기타,,행정안전부(지방자치단체),
정부투자기관(기타),부산,(재)부산연구원,공사기타,,미분류,
정부투자기관(기타),서울,(재)서울특별시 서울기술연구원,공사기타,,행정안전부(지방자치단체),
지방자치단체(시),전남,(재)순천만국제정원박람회조직위원회,지자체기타,,행정안전부(지방자치단체),
정부투자기관(기타),경기,(재)자동차융합기술원,공사기타,,행정안전부(지방자치단체),발주처 상호명변경('16.09.08)
중앙행정기관(기타),대구,(재)지능형자동차부품진흥원,중앙기타,,행정안전부(지방자치단체),
정부투자기관(기타),경기,(재)한국수자원조사기술원,공사기타,,미분류,
중앙행정기관(기타),서울,(재)한국엘피지사업관리원,중앙기타,,행정안전부(지방자치단체),산업통상자원부 지원기관
중앙행정기관(기타),강원,(재)한국지방행정연구원,중앙기타,,행정안전부(지방자치단체),
정부투자기관(기타),경기,(재)한국화학융합시험연구원,중앙기타,,미분류,
중앙행정기관(기타),경기,(재)한국화학융합시험연구원 의정부,중앙기타,,미분류,
정부투자기관(공사),강원,(주)강원랜드,공사기타,,조달청(해양수산부산하기관),
지방자치단체(도),인천,(주)인천로봇랜드,지자체기타,,행정안전부(지방자치단체),
정부투자기관(기타),경기,(주)킨텍스,공사기타,킨텍스,행정안전부(지방자치단체),
정부투자기관(공사),대전,(주)한국가스기술공사,공사기타,,조달청(해양수산부산하기관),가스공사 100%출자기업
외국기관,해외,(주)NIPPON YUSEN,외국기관,,미분류,
지방자치단체(시),경기,(하수도)경기도 안산시 상하수도사업소,안산시,,행정안전부(지방자치단체),
외국기관,해외,00공공사업교통부,외국기관,,미분류,
정부투자기관(공사),서울,2018평창동계올림픽대회조직위원회,공사기타,,행정안전부(지방자치단체),
중앙행정기관(국방부),대구,2군사령부,국방부,,국방부,
중앙행정기관(국방부),해외,"411th CSB,KOREA",국방부,,미분류,
외국기관,해외,가나,외국기관,,미분류,
외국기관,미분류,가나 항만국,외국기관,,미분류,
외국기관,전남,가나다라,외국기관,,미분류,
외국기관,전북,가나다라라,외국기관,,미분류,
외국기관,전남,가나다업체,외국기관,,미분류,
중앙행정기관(국토교통부),부산,가덕도신공항건설공단,,,국토교통부(지방국토관리청/국토부예하기관),
정부투자기관(공사),충남,가로림조력발전(주),공사기타,,한국전력공사(발전자회사),
정부투자기관(기타),충남,가로립조력발전(주),공사기타,,한국전력공사(발전자회사),
지방자치단체(광역시),기타,각지자체,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),강원,강릉시어항사무소,지자체기타,,행정안전부(지방자치단체),
지방자치단체(도),강원,강원개발공사,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),강원,강원도 강릉시 특정지역 개발사업소,강릉시,,행정안전부(지방자치단체),
지방자치단체(도),강원,강원도 도로관리사업소,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),강원,강원도 삼척시 상하수도관리사업소,삼척시,,행정안전부(지방자치단체),
지방자치단체(시),강원,강원도 속초시 공영개발사업소,속초시,,행정안전부(지방자치단체),
지방자치단체(군),강원,강원도 양양군 상하수도사업소,양양군,,행정안전부(지방자치단체),
지방자치단체(시),강원,강원도 원주시 수도사업소,원주시,,행정안전부(지방자치단체),
지방자치단체(시),강원,강원도 원주시 수질환경사업소,원주시,,행정안전부(지방자치단체),
지방자치단체(도),강원,강원도 자연환경연구사업소,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),강원,강원도 태백시 태백관광개발공사,태백시,,행정안전부(지방자치단체),
정부투자기관(기타),강원,강원도 환경연구원,강원특별자치도,,행정안전부(지방자치단체),
지방자치단체(도),강원,강원도 환동해본부,지자체기타,,행정안전부(지방자치단체),
지방자치단체(도),강원,강원발전연구원,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),강원,강원특별자치도 강릉시,강릉시,,행정안전부(지방자치단체),
지방자치단체(시),강원,강원특별자치도 강릉시 상하수도사업소,강릉시,,행정안전부(지방자치단체),
지방자치단체(시),강원,강원특별자치도 강릉시 환경수도사업본부,강릉시,,행정안전부(지방자치단체),
지방자치단체(군),강원,강원특별자치도 고성군,고성군,,행정안전부(지방자치단체),
지방자치단체(시),강원,강원특별자치도 동해시,동해시,,행정안전부(지방자치단체),
지방자치단체(시),강원,강원특별자치도 동해시 상하수도사업소,동해시,,행정안전부(지방자치단체),
지방자치단체(시),강원,강원특별자치도 삼척시,삼척시,,행정안전부(지방자치단체),
지방자치단체(시),강원,강원특별자치도 삼척시 하수도사업소,삼척시,,행정안전부(지방자치단체),
지방자치단체(시),강원,강원특별자치도 속초시,속초시,,행정안전부(지방자치단체),
지방자치단체(시),강원,강원특별자치도 속초시 맑은물관리사업소,속초시,,행정안전부(지방자치단체),
지방자치단체(시),강원,강원특별자치도 속초시 하수처리사업소,속초시,,행정안전부(지방자치단체),
