기관명,기관유형,주무부처,상위기관,소재지
(사)남북교류협력지원협회,기타공공기관,통일부,,"서울특별시 중구 퇴계로 97, 601호"
(재)예술경영지원센터,기타공공기관,문화체육관광부,,"서울특별시 종로구 대학로57(연건동) 홍익대학교 대학로캠퍼스 교육동 3층, 12층"
(재)우체국금융개발원,준정부기관(위탁집행형),과학기술정보통신부,,서울특별시 영등포구 선유돌2로 6(당산동4가)
(재)우체국물류지원단,준정부기관(위탁집행형),과학기술정보통신부,,서울특별시 광진구 자양로 76
(재)우체국시설관리단,기타공공기관,과학기술정보통신부,,"서울특별시 광진구 강변역로 2(구의동, 우체국시설관리단)"
(재)일제강제동원피해자지원재단,기타공공기관,행정안전부,,서울특별시 종로구 종로1길 42(이마빌딩 6층)
(재)축산환경관리원,기타공공기관,농림축산식품부,,"세종특별자치시  한누리대로 219, 6~7층(나성동, 한림프라자)"
(재)한국보건의료정보원,기타공공기관,보건복지부,,서울특별시 중구 칠패로 36
(재)한국우편사업진흥원,기타공공기관,과학기술정보통신부,,서울특별시 영등포구 영중로83
(재)한국통계정보원,기타공공기관,통계청,,"대전광역시 서구 둔산대로 117번길 95 제6층 제E동-601호(만년동, 리더스타운)"
(주)강원랜드,공기업(시장형),산업통상자원부,,강원도 정선군 사북읍 하이원길 265
(주)공영홈쇼핑,기타공공기관,중소벤처기업부,,서울특별시 마포구 상암산로 34 (상암동)
(주)한국가스기술공사,공기업(준시장형),산업통상자원부,,대전광역시 유성구 대덕대로 1227
88관광개발(주),기타공공기관,국가보훈부,,경기도 용인시 기흥구 석성로521번길 169
가축위생방역지원본부,기타공공기관,농림축산식품부,,세종특별자치시 아름서길 21(가축위생방역지원본부)
강릉원주대학교치과병원,기타공공기관,교육부,,강원도 강릉시 죽헌길 7
강원대학교병원,기타공공기관,교육부,,강원도 춘천시 백령로 156
건강보험심사평가원,준정부기관(위탁집행형),보건복지부,,강원도 원주시 혁신로 60(반곡동)
건설근로자공제회,기타공공기관,고용노동부,,서울특별시 중구 남대문로 109
건축공간연구원,기타공공기관,국무조정실,,"세종특별자치시 가름로 143, KT&G세종타워B 7~9층"
게임물관리위원회,기타공공기관,문화체육관광부,,"부산광역시  부산광역시 해운대구 센텀서로39(우동) 영상산업센터 1,2층"
경북대학교병원,기타공공기관,교육부,,대구광역시  중구 동덕로 130
경북대학교치과병원,기타공공기관,교육부,,대구광역시 중구 달구벌대로 2175
경상국립대학교병원,기타공공기관,교육부,,경상남도 진주시 강남로 79
경제인문사회연구회,기타공공기관,국무조정실,,"세종특별자치시 시청대로 370(반곡동, 세종국책연구단지) 연구지원동(A) 3,4,8,9층"
공간정보품질관리원,기타공공기관,국토교통부,,"서울특별시 영등포구 양산로 91, 1209호, 1404호(당산동 3가, 리드원센터)"
공무원연금공단,준정부기관(기금관리형),인사혁신처,,제주특별자치도 서귀포시 서호중앙로 63
과학기술사업화진흥원,기타공공기관,과학기술정보통신부,,"서울특별시 강서구 양천로 570(NH서울타워) 17층, 20층"
과학기술정책연구원,기타공공기관,국무조정실,,"세종특별자치시  시청대로 370 세종국책연구단지 과학·인프라동(B동) 5, 6, 7층, 연구지원동(A동) 3층"
국가생명윤리정책원,기타공공기관,보건복지부,,"서울특별시 서울특별시 광진구 능동로 400, 별관 2층 국가생명윤리정책원(중곡동, 보건복지행정타운)"
국가유산진흥원,기타공공기관,국가유산청,,서울특별시 강남구 봉은사로 406(삼성동)
국가철도공단,준정부기관(위탁집행형),국토교통부,,대전광역시 동구 중앙로 242
국가평생교육진흥원,기타공공기관,교육부,,서울특별시 중구 청계천로 14(무교동 77번지)
국립공원공단,준정부기관(위탁집행형),환경부,,강원도 원주시 혁신로 22(반곡동)
국립광주과학관,기타공공기관,과학기술정보통신부,,광주광역시 북구 첨단과기로 235(오룡동 1-6번지)
국립낙동강생물자원관,기타공공기관,환경부,,경상북도 상주시 도남2길 137 국립낙동강생물자원관
국립대구과학관,기타공공기관,과학기술정보통신부,,대구광역시 달성군 유가읍 테크노대로 6길 20
국립박물관문화재단,기타공공기관,문화체육관광부,,서울특별시 용산구 서빙고로 137
국립부산과학관,기타공공기관,과학기술정보통신부,,부산광역시 기장군 기장읍 동부산관광6로 59
국립생태원,준정부기관(위탁집행형),환경부,,충청남도 서천군 마서면 금강로 1210 국립생태원
국립아시아문화전당재단,기타공공기관,문화체육관광부,,광주광역시 동구 문화전당로 38
국립암센터,기타공공기관,보건복지부,,경기도 고양시 일산동구 일산로 323
국립중앙의료원,기타공공기관,보건복지부,,서울특별시 서울특별시 중구 을지로 245
국립항공박물관,기타공공기관,국토교통부,,서울특별시 강서구 하늘길 177(공항동)
국립해양과학관,기타공공기관,해양수산부,,경상북도 울진군 죽변면 해양과학길 8
국립해양박물관,기타공공기관,해양수산부,,부산광역시 영도구 해양로 301번길 45
국립해양생물자원관,기타공공기관,해양수산부,,충청남도 서천군 장항읍 장산로 101번길 75
국립호남권생물자원관,기타공공기관,환경부,,전라남도 목포시 고하도안길 99
국민건강보험공단,준정부기관(위탁집행형),보건복지부,,"강원도 원주시 건강로 32(반곡동, 국민건강보험공단)"
국민연금공단,준정부기관(기금관리형),보건복지부,,전라북도 전주시 덕진구 기지로 180(만성동)
국방과학연구소,기타공공기관,방위사업청,,대전광역시 유성구 북유성대로 488번길 160
국방기술품질원,기타공공기관,방위사업청,,경상남도 52851 경상남도 진주시 동진로 420(충무공동) 국방기술품질원
국방전직교육원,기타공공기관,국방부,,경기도 성남시 수정구 위례대로 83
국악방송,기타공공기관,문화체육관광부,,서울특별시 마포구 월드컵북로 54길 12(상암동)
국제방송교류재단,기타공공기관,문화체육관광부,,서울특별시 서울 서초구 남부순환로 2351
국제식물검역인증원,기타공공기관,농림축산식품부,,부산광역시 남구 문현금융로 40 부산국제금융센터 903호
국토교통과학기술진흥원,기타공공기관,국토교통부,,"경기도 안양시 동안구 시민대로 286 송백빌딩 2~7층, 9층"
국토안전관리원,준정부기관(위탁집행형),국토교통부,,경상남도 진주시 에나로128번길 24 윤현빌딩
국토연구원,기타공공기관,국무조정실,,세종특별자치시 국책연구원로 5(반곡동)
그랜드코리아레저(주),공기업(준시장형),문화체육관광부,,서울특별시 강남구 삼성로 610
근로복지공단,준정부기관(기금관리형),고용노동부,,울산광역시 중구 종가로 340(교동)
기술보증기금,준정부기관(기금관리형),중소벤처기업부,,부산광역시 남구 문현금융로 33
기초과학연구원,기타공공기관,과학기술정보통신부,,대전광역시 유성구 엑스포로 55
노사발전재단,기타공공기관,고용노동부,,"서울특별시 마포구 마포대로 130(공덕동) 6, 8, 10층"
농림수산식품교육문화정보원,기타공공기관,농림축산식품부,,세종특별자치시 국책연구원5로 19
농림식품기술기획평가원,기타공공기관,농림축산식품부,,전라남도 나주시 교육길 45
농업정책보험금융원,기타공공기관,농림축산식품부,,"서울특별시 영등포구 여의공원로 101, 2층 201호(여의도동, C.C.M.M.빌딩)"
대구경북첨단의료산업진흥재단,기타공공기관,보건복지부,,대구광역시 동구 동내로88
대외경제정책연구원,기타공공기관,국무조정실,,세종특별자치시 시청대로 370 세종국책연구단지 경제정책동
대한무역투자진흥공사,준정부기관(위탁집행형),산업통상자원부,,서울특별시 서초구 헌릉로 13 (염곡동)
대한법률구조공단,기타공공기관,법무부,,경상북도 김천시 혁신2로 26
대한석탄공사,기타공공기관,산업통상자원부,,강원도 원주시 배울로 85(반곡동)
대한장애인체육회,기타공공기관,문화체육관광부,,서울특별시 송파구 올림픽로 424 올림픽회관 신관
대한적십자사,기타공공기관,보건복지부,,강원도 원주시 혁신로 50
대한체육회,기타공공기관,문화체육관광부,,서울특별시 송파구 올림픽로 424 올림픽회관
독립기념관,기타공공기관,국가보훈부,,충청남도 천안시 동남구 목천읍 독립기념관로 1
동북아역사재단,기타공공기관,교육부,,서울특별시 서대문구 통일로 81 NH농협생명빌딩
무역안보관리원,기타공공기관,산업통상자원부,,"서울특별시 강남구 영동대로 511, 16층"
민주화운동기념사업회,기타공공기관,행정안전부,,경기도 의왕시 내손순환로 132
부산대학교병원,기타공공기관,교육부,,부산광역시 서구 구덕로 179
부산대학교치과병원,기타공공기관,교육부,,경상남도 양산시 물금읍 금오로20
부산항만공사,기타공공기관,해양수산부,,부산광역시 중구 대교로 122(중앙동 6가)
북한이탈주민지원재단,기타공공기관,통일부,,"서울특별시 마포구 새창로7(서울대총동창회장학빌딩) 4층, 5층, 14층"
사립학교교직원연금공단,기타공공기관,교육부,,전라남도 나주시 문화로 245
산업연구원,기타공공기관,국무조정실,,세종특별자치시 시청대로 370(반곡동) 세종국책연구단지 경제정책동 8~12F
새만금개발공사,기타공공기관,국토교통부,,전라북도 군산시 새만금북로 466 새만금개발공사
서민금융진흥원,기타공공기관,금융위원회,,서울특별시 중구 세종대로 14 그랜드센트럴
서울대학교병원,기타공공기관,교육부,,서울특별시  종로구 대학로 101 (연건동)
서울대학교치과병원,기타공공기관,교육부,,서울특별시 종로구 대학로 101(연건동)
서울올림픽기념국민체육진흥공단,준정부기관(기금관리형),문화체육관광부,,서울특별시 송파구 올림픽로 424(방이동)
세종학당재단,기타공공기관,문화체육관광부,,서울특별시 서초구 남부순환로 2351
소상공인시장진흥공단,준정부기관(기금관리형),중소벤처기업부,,"대전광역시 유성구 지족로364번길 92, 2층"
수도권매립지관리공사,기타공공기관,환경부,,인천광역시 서구 자원순환로 170(백석동)
